date,feature_index,NO2
2024-09-30 00:00:00+00:00,0,
2024-10-01 00:00:00+00:00,0,7.587467128663168e-06
2024-10-02 00:00:00+00:00,0,2.3581363166158557e-05
2024-10-03 00:00:00+00:00,0,1.0994407489306468e-05
2024-10-04 00:00:00+00:00,0,2.635800274219946e-05
2024-10-05 00:00:00+00:00,0,1.5449936199729564e-05
2024-10-06 00:00:00+00:00,0,1.697086827334715e-05
2024-10-07 00:00:00+00:00,0,1.5293189562726184e-05
2024-10-08 00:00:00+00:00,0,2.2667858502245508e-05
2024-10-09 00:00:00+00:00,0,1.7090245592044084e-05
2024-10-10 00:00:00+00:00,0,1.679353431427444e-05
2024-10-11 00:00:00+00:00,0,8.645147621185364e-06
2024-10-12 00:00:00+00:00,0,1.9956155483669136e-05
2024-10-13 00:00:00+00:00,0,2.366645594520378e-05
2024-10-14 00:00:00+00:00,0,1.5354032171899235e-05
2024-10-15 00:00:00+00:00,0,2.0732513803523037e-05
2024-10-16 00:00:00+00:00,0,2.657352570167859e-05
2024-10-17 00:00:00+00:00,0,2.0461182884901064e-05
2024-10-18 00:00:00+00:00,0,2.4614329959149472e-05
2024-10-19 00:00:00+00:00,0,
2024-10-20 00:00:00+00:00,0,
2024-10-21 00:00:00+00:00,0,
2024-10-22 00:00:00+00:00,0,2.3623248580406653e-05
2024-10-23 00:00:00+00:00,0,1.7106062841776293e-05
2024-10-24 00:00:00+00:00,0,2.55466520684422e-05
2024-10-25 00:00:00+00:00,0,3.0442416118603436e-05
2024-10-26 00:00:00+00:00,0,2.2042340788175352e-05
2024-10-27 00:00:00+00:00,0,1.712451285129646e-05
2024-10-28 00:00:00+00:00,0,2.0874294477835065e-05
2024-10-29 00:00:00+00:00,0,1.7988425156545418e-05
2024-10-30 00:00:00+00:00,0,1.4602227565774228e-05
2024-10-31 00:00:00+00:00,0,1.5612499434306908e-05
2024-11-01 00:00:00+00:00,0,
2024-11-02 00:00:00+00:00,0,1.12830648504314e-05
2024-11-03 00:00:00+00:00,0,
2024-11-04 00:00:00+00:00,0,
2024-11-05 00:00:00+00:00,0,1.8393699519947404e-05
2024-11-06 00:00:00+00:00,0,1.8269112160851364e-05
2024-11-07 00:00:00+00:00,0,
2024-11-08 00:00:00+00:00,0,
2024-11-09 00:00:00+00:00,0,2.886724769268767e-05
2024-11-10 00:00:00+00:00,0,
2024-11-11 00:00:00+00:00,0,
2024-11-12 00:00:00+00:00,0,
